,ML True,DL True,Persistence,SVR,Ridge,RandomForestRegressor,GradientBoostingRegressor,AdaBoostRegressor,BaggingRegressor,RNNModel,LSTMModel,GRUModel,TransformerWithLinear,TransformerWithAttention
3445,48.9,48.9,-1.0,69.441423714687,129.4584055412726,50.91499999999999,51.75236696628534,83.5984025559106,50.58,51.521545,48.65851,45.122757,48.549606,38.78134
3446,-0.7,-0.7,48.9,23.410074686005856,-48.31975313356597,-0.24899999999999967,1.8315976573105113,75.29530516431983,-0.69,5.5362396,0.9953613,0.6268921,-3.232895,-9.054596
3447,-0.6,-0.6,-0.7,5.083325367257146,-33.32002077062015,-0.6200000000000006,1.7153860605784086,56.6957723577229,-0.6599999999999999,4.042511,0.3417511,-2.5266876,-3.2355347,-10.588959
3448,19.0,19.0,-0.6,33.0740958620963,68.40883952456983,19.22000000000001,19.238354013922685,42.244959128065176,18.919999999999998,21.546448,22.096283,17.681473,19.747742,2.5664978
3449,-0.8,-0.8,19.0,7.813432599177958,-44.35361412939349,-0.7689999999999989,1.6225873004072857,60.555856573705846,-0.75,6.140503,6.710037,2.0800629,-0.52812195,-9.110535
3450,-0.7,-0.7,-0.8,-24.792186685670544,-76.76950782404921,-0.6760000000000009,0.8279600425563709,42.244959128065176,-0.6900000000000001,0.56004333,-4.0562134,-6.9112244,-3.2407837,-11.081299
3451,-0.8,-0.8,-0.7,4.85082683561842,12.662783977393133,-0.7779999999999991,1.0868175667377706,56.6957723577229,-0.7499999999999999,3.064804,5.6816864,4.0107727,-2.4239044,-10.398224
3452,50.7,50.7,-0.8,75.86860189384007,127.31410665306325,51.03099999999995,50.4359471507445,83.5984025559106,51.67,51.62732,48.964172,42.985428,50.37558,37.813004
3453,39.3,39.3,50.7,59.68354233064963,70.0468971707061,39.90600000000005,38.403855555077804,63.88407960199,40.0,36.40541,41.89894,39.605408,41.951843,35.419083
3454,40.4,40.4,39.3,52.146972381512455,46.82155470021203,40.05100000000003,38.403855555077804,63.88407960199,39.559999999999995,37.88733,40.999985,37.975998,40.101135,31.466736
3455,142.0,142.0,40.4,142.63442569619804,179.09792607831957,139.56,132.7133805478811,193.95340393343224,137.17000000000002,136.01514,139.74974,142.19006,140.15692,136.22586
3456,134.5,134.5,142.0,146.88354781665447,152.05587410275248,133.96299999999994,127.39197169601604,193.95340393343224,133.94,123.71068,131.9407,133.49815,131.60141,129.39124
3457,60.3,60.3,134.5,68.45657435369148,73.46974381698357,58.17200000000007,53.305500818793256,89.30888030888029,58.61,55.225815,53.74579,54.697037,56.80513,46.680664
3458,117.6,117.6,60.3,115.88041229402518,143.505624892244,114.30800000000008,108.91713176545305,189.35913461538476,116.00999999999999,106.609985,108.98242,110.3864,114.12488,106.66795
3459,224.3,224.3,117.6,200.60443278583205,227.58951420811368,220.43499999999966,213.67331897000767,206.22399999999993,221.65,214.72638,221.08195,220.6234,222.2876,210.87749
3460,40.7,40.7,224.3,45.49742713504048,62.0101454102882,40.91299999999994,43.74078301976987,108.0073248407643,40.55,51.656296,39.236954,44.255646,47.581635,34.229233
3461,50.6,50.6,40.7,50.500541145583526,80.46567014656958,51.438999999999986,49.94391361559333,85.949609375,51.25,47.658157,51.047806,47.213013,50.67398,39.27649
3462,29.4,29.4,50.6,39.40067348150987,36.18118002795731,30.183000000000042,30.2348063863463,56.6957723577229,30.279999999999994,30.252686,34.71785,31.899643,34.899124,21.994522
3463,28.9,28.9,29.4,45.22752366375039,42.54853274719855,29.574000000000048,28.37015814621941,56.6957723577229,28.470000000000006,26.857788,31.758575,27.930634,32.131454,19.223633
3464,-0.9,-0.9,28.9,-12.782597300698484,-49.97547221250406,-0.8130000000000002,1.1869827002008386,71.39834983498348,-0.8400000000000001,4.5332947,1.3341217,1.8513794,-1.8422394,-9.255692
